id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,pos_ecr,sd_ecr,risk
0501,Buffalo,Bills,BUF,DST,NA,48,DST,average,5.368,29,0.21199999999999974,0.7201944181955315,4.16,5.692,15,NA,NA,3.346153185662752
0501,Buffalo,Bills,BUF,DST,NA,48,DST,robust,5.57,30,0.46499999999999986,0.41512800000000033,4.16,5.692,15,NA,NA,1.8998595941620988
0501,Buffalo,Bills,BUF,DST,NA,48,DST,weighted,5.242027280640646,30,0.11810354370581688,0.725066573754292,4,5.611093023255814,15,NA,NA,3.3692516551800127
0502,Indianapolis,Colts,IND,DST,NA,48,DST,average,5.112,31,NA,1.143494643625408,3.6000000000000005,6.257999999999999,16,NA,NA,5.352983065337067
0502,Indianapolis,Colts,IND,DST,NA,48,DST,robust,4.98,32,NA,0.8895599999999995,3.6000000000000005,6.257999999999999,16,NA,NA,4.149100809440799
0502,Indianapolis,Colts,IND,DST,NA,48,DST,weighted,5.110242254377179,32,NA,1.3003331094077542,3.4000000000000004,6.25304941860465,16,NA,NA,6.096540711909667
0503,Miami,Dolphins,MIA,DST,NA,48,DST,average,6.6075,13,0.07949999999999946,0.9890677428770992,5.360000000000001,7.568,9,NA,NA,4.620858440710461
0503,Miami,Dolphins,MIA,DST,NA,48,DST,robust,6.5825,14,0.11749999999999972,1.0452329999999987,5.360000000000001,7.568,9,NA,NA,4.8871330832041195
0503,Miami,Dolphins,MIA,DST,NA,48,DST,weighted,6.505326850235,15,0.059937946989900404,1.0917735674450102,5.300000000000001,7.420707848837209,9,NA,NA,5.107777901597015
0504,New England,Patriots,NEP,DST,NA,48,DST,average,5.962,25,0.06649999999999956,0.7242582412371984,4.682,6.09,13,NA,NA,3.3654194203958987
0504,New England,Patriots,NEP,DST,NA,48,DST,robust,5.95,24,0.053749999999999964,0.08895600000000073,4.682,6.09,13,NA,NA,0.35350625865799135
0504,New England,Patriots,NEP,DST,NA,48,DST,weighted,5.889586336600318,26,0.09276189355275921,0.7785288899760685,4.4,6.0482474999999996,13,NA,NA,3.6227118878588436
0505,New York,Jets,NYJ,DST,NA,48,DST,average,6.522,15,0.05850000000000044,1.3385365142572687,4.555999999999999,7.539999999999999,9,NA,NA,6.277659761112727
0505,New York,Jets,NYJ,DST,NA,48,DST,robust,6.41,17,0.03500000000000014,0.17791200000000015,4.555999999999999,7.539999999999999,9,NA,NA,0.775238986522746
0505,New York,Jets,NYJ,DST,NA,48,DST,weighted,6.514457413070287,14,0.019613179814233384,1.5053061583748129,4.1,7.535087209302325,9,NA,NA,7.068300268090634
0506,Cincinnati,Bengals,CIN,DST,NA,48,DST,average,5.816,28,0.5319999999999991,1.0597075068149702,4.172,6.6,14,NA,NA,4.955755472290577
0506,Cincinnati,Bengals,CIN,DST,NA,48,DST,robust,5.875,26,0.06375000000000064,0.7413000000000013,4.172,6.6,14,NA,NA,3.446212929666212
0506,Cincinnati,Bengals,CIN,DST,NA,48,DST,weighted,5.773488105209401,28,0.2952476870867402,1.1993060016945514,3.9,6.5765025,14,NA,NA,5.617579902923476
0507,Cleveland,Browns,CLE,DST,NA,48,DST,average,5.2,30,NA,0.8080717789899609,4.02,5.872,16,NA,NA,3.76277217803415
0507,Cleveland,Browns,CLE,DST,NA,48,DST,robust,5.2299999999999995,31,NA,1.0229940000000006,4.02,5.872,16,NA,NA,4.781699901237939
0507,Cleveland,Browns,CLE,DST,NA,48,DST,weighted,5.137605219492479,31,NA,0.909476600476932,3.9,5.866787790697675,16,NA,NA,4.243523695462307
0508,Tennessee,Titans,TEN,DST,NA,48,DST,average,7.463,5,0.26949999999999985,1.4197781516842694,5.829999999999999,8.948,3,NA,NA,6.662819361008053
0508,Tennessee,Titans,TEN,DST,NA,48,DST,robust,7.32,4,0.0987499999999999,1.4529479999999992,5.829999999999999,8.948,3,NA,NA,6.820074752584259
0508,Tennessee,Titans,TEN,DST,NA,48,DST,weighted,7.333776800176743,6,0.23319250826408044,1.595580601728297,5.8,8.78519476744186,3,NA,NA,7.496283622242544
0509,Jacksonville,Jaguars,JAC,DST,NA,48,DST,average,6.683,11,0.04449999999999932,0.9016207628487714,5.263999999999999,7.312,6,NA,NA,4.206279846451708
0509,Jacksonville,Jaguars,JAC,DST,NA,48,DST,robust,6.82,9,0.05250000000000021,1.0971240000000002,5.263999999999999,7.312,6,NA,NA,5.133143841125235
0509,Jacksonville,Jaguars,JAC,DST,NA,48,DST,weighted,6.642405544683626,12,0.07025912921628485,0.9916343549940324,5.1,7.2892034883720935,6,NA,NA,4.633026527511182
0510,Pittsburgh,Steelers,PIT,DST,NA,48,DST,average,6.534,14,0.029749999999999943,0.5612218812555333,5.504,6.72,9,NA,NA,2.5924780916917287
0510,Pittsburgh,Steelers,PIT,DST,NA,48,DST,robust,6.615,13,0.09000000000000075,0.38547599999999965,5.504,6.72,9,NA,NA,1.7592820182071764
0510,Pittsburgh,Steelers,PIT,DST,NA,48,DST,weighted,6.4843616162771065,16,0.08057697159941668,0.6056515518116654,5.4,6.704435,9,NA,NA,2.8031153298967975
0511,Denver,Broncos,DEN,DST,NA,48,DST,average,6.6695,12,0.0987499999999999,1.4221568127319852,4.651,7.949999999999999,8,NA,NA,6.674096387991267
0511,Denver,Broncos,DEN,DST,NA,48,DST,robust,6.4625,16,0.06874999999999964,1.2527969999999995,4.651,7.949999999999999,8,NA,NA,5.871176114888557
